Tweet,Label
"@pnddkbumi12 Jangan jauh"" Ingat BBM naik",Kontra
"@Fery_setu @jaxasp @Ronnie_Rusli Loe punya Tuhan gak ..???  Loe percaya kl Tuhanmu akan memberimu rezeki gak ..???  Dikampung kampung gak ada yg gaduh karena BBM naik,karena mayoritas orang kampung percaya Tuhan pasti kasih rezeki asal mau berusaha dan bersyukur...",Pro
@MasHary71 @Android_AK_47 Cepat bgt hbs nya dgn liter yg sama jarak tempuh jg sama tp hbanya lwbih cepat dr sebelum harga bbm naik..  Kalian merasakan jg ga sih ??,Kontra
"Sejumlah siswa SMK di Bone, Sulawesi Selatan memilih naik traktor ke sekolah untuk mensiasati mahalnya harga bahan bakar minyak (BBM)  https://t.co/mSwAnQPkft",Kontra
@detikcom Lagipula blt bbm cuma 4 bln. Sementara pertalite naik selamanya. Peralihan subsidi yg tdk masuk akal,Kontra
"@PejuangPuan Bu tolong sampaikan ke pemerintah,harga BBM dikembalikan seperti semula saja,saya sebagai pedagang terasa bgt dampak dari BBM naik, gara gara BBM naik banyak bahan pokok dagangan saya naik juga, tapi saya tidak mungkin menaikan harga dagangan saya, tolong ya bu @puanmaharani_ri",Kontra
"@CNNIndonesia Pengen lihat ibu puan menangis ketika BBM dinaikkan...dgn situasi &amp; kondisi rakyat kecil yg semakin terjepit dgn tekanan ekonomi yg semakin hari semakin sakit,, tapi yaaa sudahlaah....  Ingat jaman pak SBY, BBM naik ya ga seberapa tapi ada yg nangis2 berjamaah!",Kontra
"Revvo 89 Naik Lagi jadi Rp 11.600, ini Daftar Harga BBM di SPBU Vivo  https://t.co/Ildb7F1dMn",Kontra
"Pemulihan ekonomi = bbm Naik,, megap-megap rakyat nya",Kontra
"BBM NAIK PERTALITE SULIT , Gaji gak semuanya UMR/K. Pemerintah bisa apa?  Enak kalian mah gajinya gede, digaji rakyat itu juga. Tapi sukanya bikin rakyat sengsara.",Kontra
"@PejuangPuan sebagai masyarakat dengan kenaikan BBM yang naik secara mendadak tanpa adanya sosialisasi terlebih dahulu, masih banyak masyarakat yang blm siap dengan kenaikan harga BBM, karena imbasnya harga bahan pokok juga akan naik @puanmaharani_ri",Kontra
"@TeddGus Pemilih itu simpel, dijanjikan 10jt kerjaan, ga akan utang, ya mereka pilih. Stlh dipilih, ternyata ada jebakan syarat &amp; ketentuan. Konyolnya, berubah bukan 10jt kerjaan, ga utang, tapi malah BBM naik, TKA China keliaran &amp; lbh konyolnya lagi, utang makin blangsek.",Kontra
"@PejuangPuan Sebener banyak bu... tpi klo bisa ini mah, klo BBM naik ya bahan pokok jngan ikut melonjak tinggi... Makasih Bu @puanmaharani_ri udh selalu mendengarkan keluhan masyarakat, semoga ibu terus konsisten",Pro
Nanti kayak janji bbm tiba tiba naik,Kontra
"@KompasTV Tahun 2024 pakai ini saja ,karena negara lagi Krisis dana trilyunan rupiah buat bayar utang negara, bangun IKN. Lihat aja BBM masih naikmeroket ke planet mars. 😁 Depot Vivo aja di suruh naik  Pertamina lagi cari cuan buat tutup kerugian.  https://t.co/YdC46PozCE",Kontra
"@maspradd @onetwo_idn 150rb, wantu stay walaupun bbm naik",Pro
Bagus deh karena dampak BBM naik aja masih membekas dihati masyarakat janganlah tambahi lagi beban mereka.. #450VAGakDihapus  #ListrikTidakNaik  https://t.co/QotMwvjfGL,Kontra
"Benar kata-kata bang @abdurarsyad kalo timnas mainnya bagus terus kayak gini, rakyat juga ga peduli pejabatnya pada korup, bbm naik, kasus ""rambo"" terbengkalai, hacker tiba2 lenyap..",Pro
BBM naik kok sayuran turun harga... Apa kalau BBM turun mk sayuran naik ? Ternyata tdk semua ikutan naik saat BBM naik... Mendag @ZUL_Hasan perlu mencermati nih.,Kontra
"KAKANWIL KEMENKUMHAM JATENG A YUSPAHRUDDIN: Harga BBM Naik, Yuspahruddin Minta Jajaran Kemenkumham Jateng Bersyukur Atas Status ASN  https://t.co/n3rr3TwpvP",Pro
"@sbtcon iyaa nih gara"" bbm naik juga t____t",Kontra
"@detikcom Sepertinya tingkat kekecewaan konsumen semakin meningkat, hingga mereka rela membeli bbm dari pihak swasta, meski harganya naik. Ayo SPBU swasta, tingkatkan kreativitasmu &amp; pelayananmu, karena telah terjadi peningkatan permintaan terhadap produk BBM yang kalian tawarkan. 🙏.",Pro
