No,Tweet,Label
0,"BBM Naik Tinggi Susu Tak Terbeli Salah satu syair lagu dari sang legend. Selalu enak diputar,namun menyayat hati. Berapa banyak anak kurang gizi gara2 susu tak terbeli. Miris",Kontra
1,@Zem_Di @aniesmania @AndiSinulingga @bintangku206 @bos_sir @Yonz_lp @smileupdate2024 @RelawanAnies24 @aniesjateng @fktmb @ArdiRiau3 @PutraWadapi2 Jokowi Triliyunan duit negara bbm malah naik,Kontra
2,"BBM Naik, Pakar Unair Prediksi Kemunculan Orang Miskin Baru  https://t.co/jtSbvYf78w",Kontra
3,@setkabgoid @jokowi @PlateJohnny @kemkominfo Harga BBM naik! Kebocoran data! Tarif listrik rencananya naik? Pak jgn bikin geregetan rakyat dong. Slogan kerja-kerja tp hasil tak memuaskan rakyat.terus selama ini ngerjain apa?,Kontra
4,"(4)Harga minyak kan lagi turun, kok harga BBM di Indonesia naik  Namun tidak seluruhnya dapat menjadi BBM, 10-15% minyak mentah tidak dapat menjadi BBM, sehingga hanya 135 -143 L/ 159 L yang menjadi BBM. Sehingga harga per L adalah 10200- 10700. Lalu bagaimana dengan biaya lainya",Kontra
5,"Seminggu dikasih ongkos BBM 50k  Harusnya bisa smpe Jumat, tpi gegara naik jdi kurang... Trus sisanya gmana? Jalan kaki? Bantu dengan tenaga surya?   Pak sehat? Itu baru BBM belom perkara makan... Masa saya harus puasa Daud smpe lulus pak 😭😭",Kontra
6,"Jokowi Minta Pakai Dana Tak Terduga Rp 9,5 T Atasi Lonjakan Harga Imbas BBM Naik   https://t.co/QxjZGh9CaJ  https://t.co/Q8shG4Ziib",Pro
7,"acehkini: RT @kumparan: Sejak harga bahan bakar minyak (BBM) naik pekan lalu, Adi mulai irit dan hitung-hitungan pengeluaran. #publisherstory #acehkini  https://t.co/8CP2iOzEwi",Pro
8,"@CNNIndonesia Industri tambang yang mana, punya china kali, wong rakyat Indonesia disini hidup susah, bbm naik, industri tambang Industri tambang ngaco lu",Kontra
9,Sesama Pendemo Menolak #bbmnaik di patung kuda berantem satu korban dilarikan ke #RumahSehat..  Moga gak kenapa kenapa..  #AniesdanJakarta  #AniesBaswedan  #rebranding #rumahsakit,Kontra
10,"@detikcom Wahai pak @jokowi yg terhormat, kau subsidi bbm berarti kau juga subsidi sembako, kalau kau tarik subsidi semuaaaa bahan pokok naik, jadi tdk usah kau bicara soal bbm cuma dinikmati orang kaya, jadilah presiden yg memihak rakyat kecil, bukan segelintir org yg memanfaatkanmu",Kontra
11,Efek negatif kenaikan harga BBM  Setelah 2 minggu sejak pengumuman naik...,Kontra
12,"Demo Kenaikan Harga BBM Tertib Moeldoko Pastikan, Pemerintahan Jokowi-Maruf Tidak Anti Kritik  #bbmnaik    https://t.co/BWafTgAL7r",Kontra
13,"@mas_javelin2001 dalam demo kenaikan BBM, kenapa tidak ada yang demo ke Kedubes Rusia (dalam konteks karena Rusia, harga minyak naik)",Kontra
14,"BBM naik, khilafuck Solusinya, dasar Kadrun",Kontra
15,@REger72 Bbm naik.  Pemerintah anis yg naikan ??,Kontra
16,@jokowi saya orang malang pak selalu pilih bpak dan sampai sekarang saya  medukung bpak tapi kenapa saya engk pernah dapat bantuan dari pemeritah apalagi saya sekarang lebih bayak ngagur imbas dari bbm naik tapi saya tepek saya tetap banga sma bpak jokowi presiden kebangak ku,Kontra
17,@alisyarief Ini si g usah d retas sdh ktauan track recordnye..1.nangis saat bbm naik 2.matiin mic..itu prestasinye..dua hal populer yg g akan di lupakan...😴,Kontra
18,"@detikcom slamat jd pengangguran gengs, pas pula bbm naik🤕🤒🇮🇩",Kontra
19,sesama teman atmajaya naik spp tuh bikin istifar 🥲 apalagi saat pandemi gini pemerintah tuh peka kenapa sih mbok bbm gak usah naik apa kemana-mana naik motor dan jarak ke kampus juga jauh😭,Kontra
20,Kalo bjorka orang indonesia harusnya case close alias cukup tau aja. Berarti itu cuma pengalihan isu dari kasus besar sambo dan BBM naik,Kontra
21,"Ini para cukong yang membuat krismon.. Saya ingat 1 US Dollar saat di bulan maret mendekati Rp 10ribu..  Sekarang mah nilai dollar naik rupiah melemah turun, BBM dan TDL naik mah Bapak Jokowi tetap jadi presiden..Bahkan ada wacana 3 periode..  Itulah hebatnya Bapak Jokowi.😃",Kontra
22,@undipmenfess bbm naik @dermawan_dhafa,Kontra
23,Aktivis cilik yang turun kejalan insyaallah akan menjadi generasi penerus bangsa yang peduli akan kemajuan sebuah negeri.  #BBMNaik_RakyatMenjerit  @pmiiofficial  @KSPgoid  @mabdullahsyukri  @bjork  @DPR_RI  https://t.co/C56ytsXWlH,Kontra
24,"Weh, kesempatan nih ya buat minta naik gaji demo bensin mahal, teriak minta turunkan harga BBM tapi itu demo pada naek kendaraan pribadi,,gerung2 motor sepanjang jalan apa gk boros n jd mubazir itu bensin??hadeeehh   https://t.co/4FiClC7lWe",Pro
25,"Harga BBM Naik Tapi Pembangunan IKN dan Korupsi Pejabat Jalan Terus, Din Syamsuddin: Bentuk Kezaliman yang Nyata!  https://t.co/fpOeYusCVs",Kontra
26,"@GarengHallu Indonesia bisa aktif menengahi perang Ukraina, fans khilapah ginian bisa apa, mungkin tau ada perang aja nggk. dipikir kebijakan BBM naik itu ga ada sebabnya trus main demo khilapah aja...",Pro
27,"@tanyakanrl Pintar mbahmu. Ga pernah ngerasain gaji umr jogja yahhh, udah rendah eh bbm naik yang otomatis harga lainnya juga ikut naik. Dan dengan enaknya bilang 'jika kalian pintar mengelola keuangan' ngomong mah gampangg tinggal keluar",Kontra
28,@susipudjiastuti @PartaiSocmed @Hegie_bae Jadi ibu setuju BBM naik kan yah?  #BBMNaikRakyatRevolusi  #LengserkanJokowiHargaMati,Kontra
