Waktu,Username,Tweet,Label
13/09/2022 16:35,john dory,"RT @abu_waras: Di akhir masa jabatannya ketika BBM Naik, yang Anies pikirkan adalah bagaimana dengan Wargaku...
Wargaku.. https://t.co/XaE5…",Pro
13/09/2022 16:35,kuahsoto,Terakhir isi bensin di pom adalah 13 hari lalu when harga bbm belum naik.. 30k dah full dan 10knya jajan teabreak.… https://t.co/dxerD4Y0LS,Kontra
13/09/2022 16:34,Polres Wonogiri,"RT @ThePhoo8: Harga BBM Naik, Polres Wonogiri Gelar FGD dengan Sejumlah Elemen
https://t.co/ZFtAPmpM0A https://t.co/kYKCRdOyhS",Pro
13/09/2022 16:34,Besok Lupa,"RT @OposisiCerdas: Dari Atas Mobil Komando, BEM UI Ajak Massa Menghadap ke Istana Protes BBM Naik
https://t.co/Q02tyXn8Bi",Kontra
13/09/2022 16:34,I LOVE YOU,"RT @ZulkifliLubis69: API REVOLUSI SUDAH DI NYALAKAN ... 💪💪💪

Pendemo Tolak BBM Naik Bertahan, Jalan Medan Merdeka Barat Masih Ditutup https…",Kontra
13/09/2022 16:34,Alfitra Akbar,Hari ini ada demo bbm lumayan besar dari elemen mahasiswa dan buruh tapi sepi2 aja nih pemberitaan. Pada kegocek sa… https://t.co/OYotHONGin,Kontra
13/09/2022 16:34,surya irwansyah,"RT @ZulkifliLubis69: API REVOLUSI SUDAH DI NYALAKAN ... 💪💪💪

Pendemo Tolak BBM Naik Bertahan, Jalan Medan Merdeka Barat Masih Ditutup https…",Kontra
13/09/2022 16:33,Mee,"@zoelfick Mas bjorka bikin saya ovt deh. Dia muncul pas chaos2nya Indo, mulai kasus sambo sampe naik nya BBM. Tp yg… https://t.co/WRePpUJkdR",Kontra
13/09/2022 16:33,KacauBalau NegriKu,"RT @coachaddie_off: Cie yang Semangat, Terstruktur, Sistematis dan Masif Menyengsarakan Rakyat, Harga BBM NAIK, Sembako NAIK, Listrik NAIK.…",Kontra
13/09/2022 16:33,🌿👀🌿,@anggorosabdo @er_wanty @DrEvaChaniago @PengacaraOgiMks Skenarionya BBM naik,Kontra
13/09/2022 16:33,Rizal Kuddah,"RT @abu_waras: Di akhir masa jabatannya ketika BBM Naik, yang Anies pikirkan adalah bagaimana dengan Wargaku...
Wargaku.. https://t.co/XaE5…",Pro
13/09/2022 16:33,Rusdi_sutan,"RT @ZulkifliLubis69: API REVOLUSI SUDAH DI NYALAKAN ... 💪💪💪

Pendemo Tolak BBM Naik Bertahan, Jalan Medan Merdeka Barat Masih Ditutup https…",Kontra
13/09/2022 16:33,Andi Yudha,RT @ClubMedioker: Sudahlah Bjorka datang hanya untuk pengalihan isu Kasus Sambo dan BBM naik dan Pemerintah konoha sangat jago bikin sinetr…,Kontra
13/09/2022 16:32,Raden Mas Garong Kuning,"@ZulkifliLubis69 @msaid_didu Sampai kapan setiap kali BBM naik demo, sekalipun iblis yg jadi presiden ataupun malai… https://t.co/Qz4ptbEwc6",Kontra
